"stock","sector"
"KATMR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KAYSE","FOOD, BEVERAGE AND TOBACCO"
"KBORU","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KCAER","BASIC METAL"
"KCHOL","HOLDING AND INVESTMENT COMPANIES"
"KENT","FOOD, BEVERAGE AND TOBACCO"
"KERVN","HOLDING AND INVESTMENT COMPANIES"
"KERVT","FOOD, BEVERAGE AND TOBACCO"
"KFEIN","TECHNOLOGY"
"KGYO","REAL ESTATE INVESTMENT TRUSTS"
"KIMMR","WHOLESALE AND RETAIL TRADE"
"KLGYO","REAL ESTATE INVESTMENT TRUSTS"
"KLKIM","NON-METALLIC MINERAL PRODUCTS"
"KLMSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"KLNMA","BANKS"
"KLRHO","HOLDING AND INVESTMENT COMPANIES"
"KLSER","NON-METALLIC MINERAL PRODUCTS"
"KLSYN","WOOD PRODUCTS INCLUDING FURNITURE"
"KMPUR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KNFRT","AGRICULTURE, FORESTRY AND FISHING"
"KOCMT","BASIC METAL"
"KONKA","PAPER AND PAPER PRODUCTS PRINTING"
"KONTR","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"KONYA","NON-METALLIC MINERAL PRODUCTS"
"KOPOL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KORDS","TEXTILE, WEARING APPAREL AND LEATHER"
"KOTON","WHOLESALE AND RETAIL TRADE"
"KOZAA","MINING AND QUARRYING"
"KOZAL","MINING AND QUARRYING"
"KRDMD","BASIC METAL"
"KRGYO","REAL ESTATE INVESTMENT TRUSTS"
"KRONT","TECHNOLOGY"
"KRPLS","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"KRSTL","FOOD, BEVERAGE AND TOBACCO"
"KRTEK","TEXTILE, WEARING APPAREL AND LEATHER"
"KRVGD","FOOD, BEVERAGE AND TOBACCO"
"KSTUR","HOTELS AND RESTAURANTS"
"KTLEV","FINANCING COMPANIES"
"KTSKR","FOOD, BEVERAGE AND TOBACCO"
"KUTPO","NON-METALLIC MINERAL PRODUCTS"
"KUVVA","WHOLESALE AND RETAIL TRADE"
"KUYAS","CONSTRUCTION AND PUBLIC WORKS"
"KZBGY","REAL ESTATE INVESTMENT TRUSTS"
"KZGYO","REAL ESTATE INVESTMENT TRUSTS"
"LIDER","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"LIDFA","FINANCIAL LEASING AND FACTORING COMPANIES"
"LILAK","PAPER AND PAPER PRODUCTS PRINTING"
"LINK","TECHNOLOGY"
"LKMNH","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"LMKDC","NON-METALLIC MINERAL PRODUCTS"
"LOGO","TECHNOLOGY"
"LRSHO","HOLDING AND INVESTMENT COMPANIES"
"LUKSK","TEXTILE, WEARING APPAREL AND LEATHER"
"LYDHO","HOLDING AND INVESTMENT COMPANIES"
"LYDYE","ELECTRICITY GAS AND WATER"
"MAALT","HOTELS AND RESTAURANTS"
"MACKO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"MAGEN","ELECTRICITY GAS AND WATER"
"MAKIM","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MAKTK","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MANAS","TECHNOLOGY"
"MARBL","NON-METALLIC MINERAL PRODUCTS"
"MARKA","HOLDING AND INVESTMENT COMPANIES"
"MARTI","HOTELS AND RESTAURANTS"
"MAVI","WHOLESALE AND RETAIL TRADE"
"MEDTR","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MEGAP","TEXTILE, WEARING APPAREL AND LEATHER"
"MEGMT","BASIC METAL"
"MEKAG","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"MEPET","WHOLESALE AND RETAIL TRADE"
"MERCN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MERIT","HOTELS AND RESTAURANTS"
"MERKO","FOOD, BEVERAGE AND TOBACCO"
"METRO","HOLDING AND INVESTMENT COMPANIES"
"METUR","HOLDING AND INVESTMENT COMPANIES"
"MGROS","WHOLESALE AND RETAIL TRADE"
"MHRGY","REAL ESTATE INVESTMENT TRUSTS"
"MIATK","TECHNOLOGY"
"MMCAS","HOLDING AND INVESTMENT COMPANIES"
"MNDRS","TEXTILE, WEARING APPAREL AND LEATHER"
"MNDTR","PAPER AND PAPER PRODUCTS PRINTING"
"MOBTL","TECHNOLOGY"
"MOGAN","ELECTRICITY GAS AND WATER"
"MPARK","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"MRGYO","REAL ESTATE INVESTMENT TRUSTS"
"MRSHL","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"MSGYO","REAL ESTATE INVESTMENT TRUSTS"
"MTRKS","TECHNOLOGY"
"MTRYO","INVESTMENT TRUSTS"
"MZHLD","HOLDING AND INVESTMENT COMPANIES"
"NATEN","ELECTRICITY GAS AND WATER"
"NETAS","TECHNOLOGY"
"NIBAS","NON-METALLIC MINERAL PRODUCTS"
"NTGAZ","ELECTRICITY GAS AND WATER"
"NTHOL","HOLDING AND INVESTMENT COMPANIES"
"NUGYO","REAL ESTATE INVESTMENT TRUSTS"
"NUHCM","NON-METALLIC MINERAL PRODUCTS"
"OBAMS","FOOD, BEVERAGE AND TOBACCO"
"OBASE","TECHNOLOGY"
"ODAS","ELECTRICITY GAS AND WATER"
"ODINE","TECHNOLOGY"
"OFSYM","FOOD, BEVERAGE AND TOBACCO"
"ONCSM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"ONRYT","TECHNOLOGY"
"ORCAY","FOOD, BEVERAGE AND TOBACCO"
"ORGE","CONSTRUCTION AND PUBLIC WORKS"
"ORMA","WOOD PRODUCTS INCLUDING FURNITURE"
"OSMEN","BROKERAGE HOUSES"
"OSTIM","HOLDING AND INVESTMENT COMPANIES"
"OTKAR","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"OTTO","HOLDING AND INVESTMENT COMPANIES"
"OYAKC","NON-METALLIC MINERAL PRODUCTS"
"OYAYO","INVESTMENT TRUSTS"
"OYLUM","FOOD, BEVERAGE AND TOBACCO"
"OYYAT","BROKERAGE HOUSES"
"OZATD","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"OZGYO","REAL ESTATE INVESTMENT TRUSTS"
"OZKGY","REAL ESTATE INVESTMENT TRUSTS"
"OZRDN","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"OZSUB","AGRICULTURE, FORESTRY AND FISHING"
"OZYSR","BASIC METAL"
"PAGYO","REAL ESTATE INVESTMENT TRUSTS"
"PAMEL","ELECTRICITY GAS AND WATER"
"PAPIL","TECHNOLOGY"
"PARSN","FABRICATED METAL PRODUCTS MACHINERY ELECTRICAL EQUIPMENT AND TRANSPORTATION VEHICLES"
"PASEU","TRANSPORTATION AND STORAGE"
"PATEK","TECHNOLOGY"
"PCILT","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"PEHOL","HOLDING AND INVESTMENT COMPANIES"
"PEKGY","REAL ESTATE INVESTMENT TRUSTS"
"PENGD","FOOD, BEVERAGE AND TOBACCO"
"PENTA","TECHNOLOGY"
"PETKM","CHEMICALS, PETROLEUM RUBBER AND PLASTIC PRODUCTS"
"PETUN","FOOD, BEVERAGE AND TOBACCO"
"PGSUS","TRANSPORTATION AND STORAGE"
"PINSU","FOOD, BEVERAGE AND TOBACCO"
"PKART","TECHNOLOGY"
"PKENT","HOTELS AND RESTAURANTS"
"PLTUR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"PNLSN","BASIC METAL"
