"stock","mainsector"
"VKGYO","FINANCIAL INSTITUTIONS"
"VKFYO","FINANCIAL INSTITUTIONS"
"VRGYO","FINANCIAL INSTITUTIONS"
"VERUS","FINANCIAL INSTITUTIONS"
"VERTU","FINANCIAL INSTITUTIONS"
"YKBNK","FINANCIAL INSTITUTIONS"
"YGGYO","FINANCIAL INSTITUTIONS"
"YGYO","FINANCIAL INSTITUTIONS"
"YESIL","FINANCIAL INSTITUTIONS"
"ZRGYO","FINANCIAL INSTITUTIONS"
"BJKAS","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"FENER","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"GSRAY","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"LKMNH","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"MACKO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"MPARK","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"EGEPO","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"TNZTP","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"TSPOR","EDUCATION HEALTH SPORTS AND ENTERTAINMENT SERVICES"
"ALCTL","TECHNOLOGY"
"ALTNY","TECHNOLOGY"
"ARDYZ","TECHNOLOGY"
"ARENA","TECHNOLOGY"
"ASELS","TECHNOLOGY"
"ATATP","TECHNOLOGY"
"AZTEK","TECHNOLOGY"
"BINBN","TECHNOLOGY"
"DGATE","TECHNOLOGY"
"DESPC","TECHNOLOGY"
"EDATA","TECHNOLOGY"
"ESCOM","TECHNOLOGY"
"FONET","TECHNOLOGY"
"FORTE","TECHNOLOGY"
"HTTBT","TECHNOLOGY"
"INDES","TECHNOLOGY"
"INGRM","TECHNOLOGY"
"INTEK","TECHNOLOGY"
"KFEIN","TECHNOLOGY"
"KAREL","TECHNOLOGY"
"KRONT","TECHNOLOGY"
"LINK","TECHNOLOGY"
"LOGO","TECHNOLOGY"
"MANAS","TECHNOLOGY"
"MTRKS","TECHNOLOGY"
"MIATK","TECHNOLOGY"
"MOBTL","TECHNOLOGY"
"NETAS","TECHNOLOGY"
"OBASE","TECHNOLOGY"
"ODINE","TECHNOLOGY"
"ONRYT","TECHNOLOGY"
"PAPIL","TECHNOLOGY"
"PATEK","TECHNOLOGY"
"PENTA","TECHNOLOGY"
"PKART","TECHNOLOGY"
"REEDR","TECHNOLOGY"
"SDTTR","TECHNOLOGY"
"SMART","TECHNOLOGY"
"VBTYZ","TECHNOLOGY"
"KONTR","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"PCILT","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"SKYLP","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"YEOTK","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
"BORLS","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"CEOEM","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"ESCAR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"FLAP","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"GZNMI","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"LIDER","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"PLTUR","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"SNKRN","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES"
"ADESE","REAL ESTATE ACTIVITIES"
"IHLGM","REAL ESTATE ACTIVITIES"
"RGYAS","REAL ESTATE ACTIVITIES"
"SONME","REAL ESTATE ACTIVITIES"
"AYCES","HOTELS AND RESTAURANTS"
"AVTUR","HOTELS AND RESTAURANTS"
"BYDNR","HOTELS AND RESTAURANTS"
"BIGCH","HOTELS AND RESTAURANTS"
"DOCO","HOTELS AND RESTAURANTS"
"ETILR","HOTELS AND RESTAURANTS"
"KSTUR","HOTELS AND RESTAURANTS"
"MAALT","HOTELS AND RESTAURANTS"
"MARTI","HOTELS AND RESTAURANTS"
"MERIT","HOTELS AND RESTAURANTS"
"PKENT","HOTELS AND RESTAURANTS"
"TABGD","HOTELS AND RESTAURANTS"
"TEKTU","HOTELS AND RESTAURANTS"
"ULAS","HOTELS AND RESTAURANTS"
"DOBUR","INFORMATION AND COMMUNICATION"
"HURGZ","INFORMATION AND COMMUNICATION"
"IHGZT","INFORMATION AND COMMUNICATION"
"IHAAS","INFORMATION AND COMMUNICATION"
"TCELL","INFORMATION AND COMMUNICATION"
"TTKOM","INFORMATION AND COMMUNICATION"
